Work Item Type,ID,Title,Assigned To,Effort,State,Area Path,Tags,Comment Count,Description,Acceptance Criteria
"Product Backlog Item","","AM-F1 PBI1 Crear la guía de instalación del ambiente local","","4","Approved","Main work","am; am-f1; apps","0","<h2>¿Qué hay que hacer?</h2><p>Documentar una guía clara y completa para instalar y levantar el ambiente local de desarrollo del proyecto, de forma que cualquier miembro del equipo pueda preparar su entorno de trabajo de manera consistente.</p><h2>Objetivo</h2><p>Contar con un documento base que permita configurar el ambiente local con los prerrequisitos, pasos de instalación, dependencias, comandos y validaciones necesarias para iniciar el desarrollo sin bloqueos innecesarios.</p><h2>Pasos</h2><ol><li>Identificar los prerrequisitos necesarios para ejecutar el proyecto en local.</li><li>Documentar instalaciones requeridas, versiones mínimas y herramientas necesarias.</li><li>Describir la estructura general del ambiente local y sus componentes.</li><li>Incluir los pasos para clonar, configurar y ejecutar el proyecto localmente.</li><li>Documentar variables de entorno, secretos simulados y configuraciones base necesarias.</li><li>Agregar pasos de validación para confirmar que el ambiente quedó funcional.</li><li>Publicar la guía en un lugar accesible para el equipo.</li></ol>","<ul><li>Existe una guía documentada para instalar el ambiente local.</li><li>La guía incluye prerrequisitos, versiones, dependencias y pasos de ejecución.</li><li>La guía contempla variables de entorno y configuraciones mínimas necesarias.</li><li>La guía incluye pasos de validación para comprobar que el ambiente funciona.</li><li>La documentación está disponible para el equipo en una ubicación accesible.</li></ul>"
"Product Backlog Item","","AM-F1 PBI2 Configurar Docker/Kubernetes para el ambiente local","","4","Approved","Main work","am; am-f1; apps","0","<h2>¿Qué hay que hacer?</h2><p>Preparar la configuración necesaria para ejecutar el proyecto en ambiente local utilizando contenedores y/o herramientas de orquestación compatibles con el flujo técnico definido para el proyecto.</p><h2>Objetivo</h2><p>Facilitar una ejecución local consistente, reproducible y cercana a los ambientes superiores, reduciendo diferencias entre estaciones de trabajo.</p><h2>Pasos</h2><ol><li>Definir si el ambiente local utilizará Docker, Kubernetes o una combinación de ambos.</li><li>Preparar los archivos de configuración necesarios para levantar servicios localmente.</li><li>Configurar servicios auxiliares requeridos por la solución.</li><li>Documentar cómo iniciar, detener y reiniciar el ambiente local.</li><li>Definir puertos, redes, volúmenes y dependencias necesarias.</li><li>Validar que el proyecto levanta correctamente en el ambiente configurado.</li><li>Actualizar la guía del ambiente local con los pasos operativos necesarios.</li></ol>","<ul><li>Existe una configuración funcional para ejecutar el proyecto en local con Docker y/o Kubernetes.</li><li>Los servicios requeridos pueden levantarse correctamente en el ambiente local.</li><li>Se documentaron los comandos necesarios para operar el ambiente.</li><li>Se validó la ejecución correcta de la solución en local.</li><li>La configuración quedó alineada con la guía del ambiente local.</li></ul>"
"Product Backlog Item","","AM-F1 PBI3 Definir la estrategia general de ambientes y bases de datos","","2","Approved","Main work","am; am-f1; apps","0","<h2>¿Qué hay que hacer?</h2><p>Definir la estrategia general de ambientes del proyecto, incluyendo el propósito de cada ambiente, el uso esperado de sus bases de datos y las reglas principales para promoción de cambios.</p><h2>Objetivo</h2><p>Establecer una base común para el uso de Local, Dev, Staging y Producción, evitando ambigüedades sobre responsabilidades, flujo de cambios y manejo de datos.</p><h2>Pasos</h2><ol><li>Definir los ambientes oficiales del proyecto y su propósito.</li><li>Establecer qué base de datos corresponde a cada ambiente.</li><li>Definir lineamientos para uso de datos reales, anonimizados o simulados.</li><li>Definir reglas generales para promoción de cambios entre ambientes.</li><li>Establecer consideraciones de seguridad, acceso y operación.</li><li>Documentar la estrategia para consulta del equipo.</li></ol>","<ul><li>Existe una estrategia documentada de ambientes del proyecto.</li><li>Está definido el propósito de Local, Dev, Staging y Producción.</li><li>Está definido qué base de datos utiliza cada ambiente.</li><li>Se documentaron lineamientos de datos, accesos y promoción de cambios.</li><li>La estrategia está disponible para consulta del equipo.</li></ul>"
"Product Backlog Item","","AM-F2 PBI1 Crear el ambiente Dev en Azure","","4","Approved","Main work","am; am-f2; apps","0","<h2>¿Qué hay que hacer?</h2><p>Crear y dejar operativo el ambiente Dev en Azure para soportar el desarrollo y validación técnica continua del proyecto.</p><h2>Objetivo</h2><p>Contar con un ambiente intermedio entre local y Staging donde sea posible desplegar cambios en desarrollo y validar su comportamiento de forma controlada.</p><h2>Pasos</h2><ol><li>Definir los recursos de Azure necesarios para el ambiente Dev.</li><li>Crear la infraestructura base del ambiente Dev.</li><li>Configurar accesos, permisos y parámetros operativos iniciales.</li><li>Preparar la integración del ambiente Dev con sus dependencias técnicas.</li><li>Realizar una validación básica de disponibilidad y acceso.</li><li>Documentar la configuración general del ambiente.</li></ol>","<ul><li>Existe un ambiente Dev creado en Azure.</li><li>El ambiente Dev cuenta con los recursos mínimos requeridos para operar.</li><li>Se configuraron accesos y permisos básicos.</li><li>Se validó el acceso y funcionamiento general del ambiente.</li><li>La configuración quedó documentada.</li></ul>"
"Product Backlog Item","","AM-F2 PBI2 Configurar la Sandbox DB del ambiente Dev","","2","Approved","Main work","am; am-f2; apps","0","<h2>¿Qué hay que hacer?</h2><p>Configurar la Sandbox DB que será utilizada por el ambiente Dev, permitiendo desarrollar y probar funcionalidades sin depender directamente de la base de datos de Producción.</p><h2>Objetivo</h2><p>Contar con una base de datos segura, funcional y aislada para Dev, con información utilizable para desarrollo y pruebas.</p><h2>Pasos</h2><ol><li>Crear o definir la Sandbox DB que será utilizada por el ambiente Dev.</li><li>Definir el origen de los datos que se utilizarán en la Sandbox DB.</li><li>Revisar la información copiada y anonimizar o remover datos sensibles cuando aplique.</li><li>Configurar accesos, credenciales y permisos necesarios para la aplicación y el equipo.</li><li>Conectar el ambiente Dev a la Sandbox DB.</li><li>Validar que la aplicación funcione correctamente utilizando esta base de datos.</li><li>Documentar la configuración técnica, accesos, restricciones y propósito del ambiente.</li></ol>","<ul><li>Existe una Sandbox DB disponible para ser utilizada por el ambiente Dev.</li><li>El ambiente Dev se conecta correctamente a la Sandbox DB.</li><li>Los datos sensibles fueron anonimizados, removidos o controlados según corresponda.</li><li>La configuración de accesos y permisos quedó definida y documentada.</li><li>Se validó que la aplicación en Dev opera correctamente contra la Sandbox DB.</li><li>El ambiente Dev no depende de conexiones directas a Producción para su funcionamiento normal.</li></ul>"
"Product Backlog Item","","AM-F3 PBI1 Crear el ambiente Staging en Azure","","4","Approved","Main work","am; am-f3; apps","0","<h2>¿Qué hay que hacer?</h2><p>Crear y dejar operativo el ambiente Staging en Azure para validar versiones candidatas a release en condiciones cercanas a Producción.</p><h2>Objetivo</h2><p>Contar con un ambiente estable y representativo para pruebas funcionales, validaciones previas a salida y control de calidad antes de pasar a Producción.</p><h2>Pasos</h2><ol><li>Definir los recursos de Azure necesarios para el ambiente Staging.</li><li>Crear la infraestructura base del ambiente Staging.</li><li>Configurar accesos, permisos y parámetros operativos iniciales.</li><li>Preparar la integración del ambiente con sus dependencias técnicas.</li><li>Validar disponibilidad, acceso y despliegue básico.</li><li>Documentar la configuración general del ambiente.</li></ol>","<ul><li>Existe un ambiente Staging creado en Azure.</li><li>El ambiente Staging cuenta con los recursos mínimos requeridos para operar.</li><li>Se configuraron accesos y permisos básicos.</li><li>Se validó el acceso y funcionamiento general del ambiente.</li><li>La configuración quedó documentada.</li></ul>"
"Product Backlog Item","","AM-F3 PBI2 Configurar la Stage DB y definir el proceso de sincronización","","8","Approved","Main work","am; am-f3; apps","0","<h2>¿Qué hay que hacer?</h2><p>Configurar la Stage DB que será utilizada por el ambiente Staging y definir el proceso de sincronización desde Producción hacia Stage antes de validaciones o releases.</p><h2>Objetivo</h2><p>Asegurar que el ambiente Staging opere con una base de datos representativa, confiable y controlada, permitiendo validaciones previas al release en condiciones cercanas a Producción.</p><h2>Pasos</h2><ol><li>Crear o definir la Stage DB que será utilizada por el ambiente Staging.</li><li>Definir la estrategia de sincronización de datos desde Producción hacia Stage.</li><li>Establecer qué datos deben copiarse, cuáles deben excluirse y cuáles deben anonimizarse si aplica.</li><li>Documentar el procedimiento completo de sincronización, incluyendo respaldo previo y restauración.</li><li>Automatizar el proceso de sincronización tanto como sea posible.</li><li>Configurar la conexión entre el ambiente Staging y la Stage DB.</li><li>Ejecutar una prueba completa del proceso de sincronización.</li><li>Validar que la aplicación en Staging funcione correctamente después de la sincronización.</li><li>Documentar responsables, frecuencia de ejecución, riesgos y pasos de contingencia.</li></ol>","<ul><li>Existe una Stage DB disponible para ser utilizada por el ambiente Staging.</li><li>El ambiente Staging se conecta correctamente a la Stage DB.</li><li>Está definido y documentado el proceso de sincronización desde Producción hacia Stage.</li><li>El proceso contempla respaldo previo, restauración y validación posterior.</li><li>Se definieron reglas sobre datos sensibles, exclusiones y anonimización cuando corresponda.</li><li>Se ejecutó al menos una prueba completa de sincronización con resultado satisfactorio.</li><li>La aplicación funciona correctamente en Staging luego de sincronizar la base de datos.</li></ul>"
"Product Backlog Item","","AM-F4 PBI1 Crear el ambiente de Producción en Azure","","8","Approved","Main work","am; am-f4; apps","0","<h2>¿Qué hay que hacer?</h2><p>Crear y dejar listo el ambiente de Producción en Azure para soportar la operación oficial del sistema.</p><h2>Objetivo</h2><p>Contar con una infraestructura productiva estable, segura y preparada para recibir despliegues controlados.</p><h2>Pasos</h2><ol><li>Definir los recursos de Azure necesarios para Producción.</li><li>Crear la infraestructura base del ambiente productivo.</li><li>Configurar accesos, permisos y parámetros operativos iniciales.</li><li>Preparar la integración con dependencias críticas del sistema.</li><li>Validar disponibilidad, acceso y configuración básica.</li><li>Documentar la configuración general del ambiente.</li></ol>","<ul><li>Existe un ambiente de Producción creado en Azure.</li><li>El ambiente de Producción cuenta con los recursos mínimos requeridos para operar.</li><li>Se configuraron accesos y permisos básicos.</li><li>Se validó el acceso y funcionamiento general del ambiente.</li><li>La configuración quedó documentada.</li></ul>"
"Product Backlog Item","","AM-F4 PBI2 Configurar la Production DB del ambiente de Producción","","4","Approved","Main work","am; am-f4; apps","0","<h2>¿Qué hay que hacer?</h2><p>Configurar la Production DB que será utilizada por el ambiente de Producción, asegurando que soporte la operación oficial del sistema con controles adecuados de seguridad, acceso, respaldo y monitoreo.</p><h2>Objetivo</h2><p>Disponer de una base de datos productiva estable, segura y lista para operación real.</p><h2>Pasos</h2><ol><li>Crear o definir la Production DB que será utilizada por el ambiente de Producción.</li><li>Configurar parámetros técnicos base para la operación del sistema.</li><li>Definir usuarios, roles, accesos y permisos necesarios.</li><li>Configurar de forma segura las cadenas de conexión de la aplicación hacia la Production DB.</li><li>Validar la conectividad entre el ambiente de Producción y la base de datos.</li><li>Alinear la base de datos con la estrategia de backups y restauración definida para el proyecto.</li><li>Configurar monitoreo, métricas y alertas relacionadas con la operación de la base de datos.</li><li>Documentar la configuración técnica, accesos, dependencias y procedimiento operativo básico.</li></ol>","<ul><li>Existe una Production DB disponible para ser utilizada por el ambiente de Producción.</li><li>El ambiente de Producción se conecta correctamente a la Production DB.</li><li>Los accesos y permisos quedaron definidos bajo criterios controlados.</li><li>La configuración de conexión se maneja de forma segura.</li><li>La Production DB queda incluida dentro de la estrategia de backups y restauración.</li><li>Existen mecanismos de monitoreo y alertas para la operación de la base de datos.</li></ul>"
"Product Backlog Item","","AM-F4 PBI3 Definir el proceso de release a Betas y a Production","","4","Approved","Main work","am; am-f4; apps","0","<h2>¿Qué hay que hacer?</h2><p>Definir el proceso formal de release hacia los ambientes Beta y Producción, incluyendo criterios, responsables, validaciones previas y pasos de ejecución.</p><h2>Objetivo</h2><p>Contar con un flujo repetible y controlado para promover cambios a ambientes superiores minimizando riesgos operativos.</p><h2>Pasos</h2><ol><li>Definir las etapas del proceso de release.</li><li>Establecer responsables y aprobadores por etapa.</li><li>Definir validaciones previas al despliegue.</li><li>Documentar checklist de salida.</li><li>Definir criterios de rollback y contingencia.</li><li>Socializar y documentar el proceso con el equipo.</li></ol>","<ul><li>Existe un proceso documentado de release a Betas y a Production.</li><li>Se definieron responsables, aprobaciones y validaciones previas.</li><li>Existe un checklist de salida para despliegues.</li><li>Se definieron lineamientos de rollback o contingencia.</li><li>El proceso quedó disponible para el equipo.</li></ul>"
